appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
10,Counter-Strike,Valve,Valve,,235234,6202,0,"10,000,000 .. 20,000,000",9391,1162,209,870,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,14342,"{'Action': 5480, 'FPS': 4906, 'Multiplayer': 3454, 'Shooter': 3405, 'Classic': 2829, 'Team-Based': 1904, 'First-Person': 1746, 'Competitive': 1639, 'Tactical': 1378, ""1990's"": 1234, 'e-sports': 1221, 'PvP': 914, 'Old School': 812, 'Military': 656, 'Strategy': 629, 'Survival': 314, 'Score Attack': 296, '1980s': 278, 'Assassin': 237, 'Nostalgia': 185}"
20,Team Fortress Classic,Valve,Valve,,7307,1093,0,"5,000,000 .. 10,000,000",184,0,33,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,82,"{'Action': 764, 'FPS': 327, 'Multiplayer': 277, 'Classic': 252, 'Hero Shooter': 225, 'Shooter': 221, 'Team-Based': 201, 'Class-Based': 195, 'First-Person': 187, ""1990's"": 160, 'Old School': 122, 'Co-op': 98, 'Competitive': 82, 'Fast-Paced': 72, 'Retro': 68, 'Online Co-Op': 60, 'Violent': 56, 'Funny': 39, 'Mod': 39, 'Remake': 39}"
30,Day of Defeat,Valve,Valve,,6241,672,0,"5,000,000 .. 10,000,000",161,0,13,0,499,499,0,"English, French, German, Italian, Spanish - Spain",Action,96,"{'FPS': 800, 'World War II': 270, 'Multiplayer': 213, 'Shooter': 193, 'Action': 164, 'War': 158, 'Team-Based': 137, 'Classic': 131, 'First-Person': 108, 'Class-Based': 83, 'Military': 71, 'Historical': 62, 'Tactical': 46, 'Singleplayer': 43, 'Co-op': 36, 'Violent': 23, 'Old School': 22, 'Retro': 22, 'Difficult': 22, 'Strategy': 16}"
40,Deathmatch Classic,Valve,Valve,,2539,525,0,"5,000,000 .. 10,000,000",217,0,9,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,4,"{'Action': 635, 'FPS': 151, 'Classic': 115, 'Multiplayer': 106, 'Shooter': 100, 'First-Person': 80, 'Arena Shooter': 56, 'Old School': 44, 'Sci-fi': 36, 'Competitive': 30, 'Fast-Paced': 24, 'Retro': 21, 'Gore': 20, ""1990's"": 17, 'Co-op': 16, 'Difficult': 15, 'Singleplayer': 7}"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,22212,1112,0,"2,000,000 .. 5,000,000",271,0,118,0,499,499,0,"English, French, German, Korean",Action,94,"{'FPS': 921, 'Action': 355, 'Classic': 287, 'Sci-fi': 279, 'Singleplayer': 258, 'Shooter': 247, 'First-Person': 218, 'Aliens': 207, ""1990's"": 161, 'Adventure': 139, 'Atmospheric': 128, 'Military': 127, 'Story Rich': 99, 'Silent Protagonist': 95, 'Great Soundtrack': 76, 'Gore': 60, 'Puzzle': 59, 'Moddable': 44, 'Co-op': 43, 'Retro': 41}"
60,Ricochet,Valve,Valve,,4783,1015,0,"5,000,000 .. 10,000,000",190,0,2,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,10,"{'Action': 592, 'FPS': 136, 'Multiplayer': 119, 'Classic': 96, 'First-Person': 87, 'Sci-fi': 62, 'Shooter': 59, 'Space': 47, 'Cyberpunk': 39, 'Psychological Horror': 34, 'Memes': 32, '3D': 32, 'Retro': 32, 'Platformer': 32, 'Old School': 30, 'Conspiracy': 29, 'Cult Classic': 27, 'Competitive': 24, 'Sports': 14, 'Great Soundtrack': 12}"
70,Half-Life,Valve,Valve,,129119,4659,0,"10,000,000 .. 20,000,000",572,20,185,36,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,905,"{'FPS': 2451, 'Classic': 1945, ""1990's"": 1934, 'Singleplayer': 1929, 'Sci-fi': 1928, 'Multiplayer': 1923, 'Shooter': 1900, 'Action': 1896, 'First-Person': 1896, 'Aliens': 1885, 'Silent Protagonist': 1873, 'Story Rich': 1871, 'Atmospheric': 1858, 'Gore': 1825, 'Moddable': 1825, 'Adventure': 1822, 'Retro': 1819, 'Action-Adventure': 1811, 'Difficult': 1783, 'PvP': 1759}"
80,Counter-Strike: Condition Zero,Valve,Valve,,23295,2216,0,"2,000,000 .. 5,000,000",6338,0,47,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,454,"{'Action': 1382, 'FPS': 1042, 'Shooter': 770, 'Multiplayer': 634, 'First-Person': 479, 'Singleplayer': 421, 'Classic': 403, 'Tactical': 383, 'Team-Based': 326, 'Competitive': 313, 'Military': 187, 'Online Co-Op': 182, 'Strategy': 176, 'Adventure': 87, 'Survival': 66, 'Atmospheric': 65, 'Old School': 59, 'Open World': 39, 'Dark': 39, 'Simulation': 34}"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,15832,1333,0,"1,000,000 .. 2,000,000",225,0,94,0,499,499,0,"English, French, German",Action,41,"{'FPS': 486, 'Action': 306, 'Sci-fi': 236, 'Singleplayer': 215, 'Shooter': 192, 'Aliens': 176, 'Classic': 166, 'First-Person': 160, 'Zombies': 111, 'Adventure': 105, ""1990's"": 95, 'Short': 91, 'Atmospheric': 86, 'Silent Protagonist': 68, 'Story Rich': 60, 'Puzzle': 37, 'Retro': 34, 'Moddable': 34, 'Great Soundtrack': 33, 'Violent': 29}"
220,Half-Life 2,Valve,Valve,,195931,4839,0,"2,000,000 .. 5,000,000",697,155,441,185,999,999,0,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai",Action,930,"{'FPS': 4137, 'Action': 2957, 'Sci-fi': 2604, 'Classic': 2376, 'Singleplayer': 2326, 'Story Rich': 2023, 'Shooter': 1826, 'First-Person': 1705, 'Adventure': 1460, 'Dystopian ': 1314, 'Atmospheric': 1215, 'Silent Protagonist': 1130, 'Zombies': 1128, 'Physics': 1086, 'Aliens': 1043, 'Great Soundtrack': 1033, 'Horror': 924, 'Puzzle': 813, 'Multiplayer': 798, 'Moddable': 597}"
